Numéro du tour; Age; Poisson; Requin
200;12;41;6;
200;21;4;3;
200;20;4;0;
200;45;0;1;
200;10;70;4;

210;35;2;2;
210;36;1;0;
210;33;0;3;
210;34;0;3;
210;39;0;1;
210;43;0;1;
210;42;0;3;
210;22;28;6;
210;23;16;10;
210;24;9;6;
210;25;9;0;
210;26;6;0;
210;27;3;0;
210;28;2;1;
210;29;3;0;
210;3;46;19;
210;2;51;28;
210;1;87;25;
210;0;162;17;
210;7;30;2;
210;6;41;1;
210;32;2;1;
210;5;39;0;
210;31;0;3;
210;4;41;6;
210;9;23;4;
210;8;30;1;
210;19;56;0;
210;55;0;1;
210;17;111;1;
210;18;78;1;
210;15;216;0;
210;16;156;0;
210;13;7;13;
210;14;14;6;
210;11;20;10;
210;12;5;15;
210;21;30;4;
210;20;43;4;
210;45;0;3;
210;44;0;4;
210;10;20;7;
210;53;0;1;

220;35;1;0;
220;36;3;0;
220;33;11;10;
220;34;5;6;
220;39;1;0;
220;38;0;1;
220;43;0;3;
220;42;0;1;
220;41;0;3;
220;22;1;15;
220;23;2;13;
220;24;1;6;
220;25;141;0;
220;26;79;0;
220;27;57;1;
220;28;44;1;
220;29;27;0;
220;3;68;25;
220;2;70;47;
220;1;104;53;
220;0;233;42;
220;7;31;3;
220;30;16;4;
220;6;33;3;
220;32;12;6;
220;5;44;1;
220;31;18;4;
220;4;53;6;
220;9;20;11;
220;8;31;5;
220;19;8;4;
220;55;0;3;
220;17;7;2;
220;18;7;1;
220;15;8;0;
220;16;6;1;
220;13;7;19;
220;14;6;6;
220;11;4;25;
220;12;4;28;
220;21;3;10;
220;20;4;7;
220;65;0;1;
220;63;0;1;
220;49;0;1;
220;45;0;2;
220;44;0;3;
220;10;18;17;
220;52;0;3;
220;53;0;1;
220;54;0;4;

230;35;77;0;
230;36;25;0;
230;33;0;10;
230;34;0;4;
230;39;7;0;
230;37;16;1;
230;38;9;0;
230;43;2;7;
230;42;1;3;
230;41;2;2;
230;40;1;2;
230;22;0;19;
230;23;1;11;
230;24;1;3;
230;25;1;0;
230;26;1;0;
230;29;0;1;
230;3;10;18;
230;2;17;64;
230;1;25;83;
230;0;70;74;
230;30;0;4;
230;7;4;4;
230;6;8;4;
230;5;7;2;
230;32;0;12;
230;31;0;6;
230;4;14;5;
230;9;1;19;
230;8;7;10;
230;73;0;1;
230;19;1;7;
230;55;0;2;
230;18;0;3;
230;15;2;1;
230;16;2;1;
230;13;1;14;
230;14;3;4;
230;11;2;36;
230;12;0;28;
230;21;0;14;
230;20;1;9;
230;64;0;1;
230;65;0;1;
230;62;0;2;
230;49;1;0;
230;48;0;1;
230;44;0;3;
230;10;3;33;
230;51;0;1;
230;53;0;2;
230;54;0;2;

240;33;0;3;
240;43;0;1;
240;42;0;1;
240;40;0;1;
240;22;0;2;
240;3;11;0;
240;2;16;7;
240;1;23;16;
240;0;21;16;
240;7;1;1;
240;6;7;0;
240;5;5;0;
240;32;0;2;
240;4;11;0;
240;31;0;1;
240;9;0;2;
240;8;2;1;
240;11;0;5;
240;12;0;6;
240;21;0;3;
240;20;0;1;
240;45;7;0;
240;10;0;2;

250;3;136;0;
250;2;179;0;
250;1;239;0;
250;0;311;4;
250;7;39;0;
250;6;62;1;
250;5;77;0;
250;4;103;0;
250;9;27;1;
250;8;33;0;
250;17;1;1;
250;18;2;0;
250;15;4;0;
250;16;6;0;
250;13;9;0;
250;14;8;0;
250;11;18;3;
250;12;12;0;
250;21;0;1;
250;10;14;1;
